epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.413,1.3991,3.05761,1.46366,0.04116,0.63566,0.41081,0.26004,1.22997,2.98956,1.28879,0.00025722,0.00025722,0.00025722
2,251.392,1.30133,1.73779,1.40364,0.85406,0.35215,0.47524,0.31303,1.3115,2.03211,1.33393,0.000424041,0.000424041,0.000424041
3,376.416,1.24134,1.4389,1.34754,0.82033,0.55311,0.69211,0.44913,1.27522,1.58524,1.25176,0.000483345,0.000483345,0.000483345
4,503.656,1.20158,1.28886,1.32044,0.76087,0.72201,0.80322,0.52706,1.23895,1.33797,1.20172,0.00043513,0.00043513,0.00043513
5,636.918,1.17999,1.18724,1.29814,0.76637,0.78033,0.84546,0.55065,1.2196,1.18521,1.18313,0.000279398,0.000279398,0.000279398
