epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.837,1.41749,3.05732,1.46957,0.04485,0.66534,0.26631,0.15996,1.21241,2.82801,1.19956,0.00025722,0.00025722,0.00025722
2,293.292,1.24434,1.63389,1.33231,0.91719,0.2824,0.59259,0.42846,1.28374,2.18541,1.25713,0.000354249,0.000354249,0.000354249
3,431.763,1.18233,1.27627,1.30803,0.88352,0.62191,0.71837,0.50733,1.22881,1.6677,1.1903,0.000272082,0.000272082,0.000272082
