epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,325.828,1.46524,2.22803,1.71891,0.51634,0.69169,0.6246,0.35446,1.26433,3.0299,1.56958,0.00025722,0.00025722,0.00025722
2,630.808,1.14983,1.1499,1.41452,0.7689,0.89019,0.86703,0.55319,1.23818,2.26674,1.28148,0.000424041,0.000424041,0.000424041
3,935.4,1.10945,0.99772,1.3112,0.78544,0.90107,0.87504,0.55999,1.37099,1.82011,1.31875,0.000483345,0.000483345,0.000483345
4,1334.31,1.11456,0.96593,1.28021,0.81222,0.90065,0.89366,0.59039,1.17107,1.17652,1.21653,0.00043513,0.00043513,0.00043513
5,1884.25,1.08101,0.88986,1.25927,0.86223,0.88054,0.90482,0.61141,1.13508,0.88039,1.21638,0.000279398,0.000279398,0.000279398
